id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
301046,IN-0072,small_airport,Raigarh Airport (JSPL),21.9352805556,83.3502138889,,AS,IN,IN-CT,,0,,,,,,,0,2012-03-25T04:14:07+00:00
330834,IN-0103,small_airport,INDRA GANDHI AIRPORT,0,0,,AS,IN,IN-DL,,0,,,,,,,0,2019-03-23T01:10:07+00:00
306912,IN-0081,heliport,Annandale Helipad,31.1113888889,77.1569444444,6120,AS,IN,IN-HP,,0,,,,,,,0,2012-08-26T03:58:13+00:00
306913,IN-0082,heliport,Ajog Helipad,32.9219444444,76.458,7460,AS,IN,IN-HP,,0,,,,,,,0,2012-08-26T04:09:38+00:00
309944,IN-0089,small_airport,Noamundi Airport,22.1922222222,85.5488888889,,AS,IN,IN-JH,,0,,,,,,,0,2013-11-12T08:55:27+00:00
42717,IN-0004,heliport,Leh Helipad,34.1286697387695,77.5365371704102,10682,AS,IN,IN-JK,,0,,,,,,,0,2008-12-06T07:04:59+00:00
301040,IN-0070,small_airport,Vijayanagar Aerodrome (JSW),15.1749666667,76.6349472222,1670,AS,IN,IN-KA,,0,VOJV,VDY,,,http://en.wikipedia.org/wiki/Vidyanagar_Airport,,0,2012-04-29T13:30:01+00:00
301043,IN-0071,small_airport,Baldota Koppal Aerodrome,15.3600944444,76.2200527778,,AS,IN,IN-KA,,0,,,,,,,0,2012-03-25T04:03:13+00:00
330867,IN-0104,medium_airport,@@ Online Istikhara for Love Problem +91-9828783978 (>,0,0,,AS,IN,IN-KA,,1,,,,,,,0,2019-03-29T08:05:16+00:00
315328,IN-0095,heliport,Perunad Helipad,9.3539,76.86489,,AS,IN,IN-KL,,1,,,,,https://en.wikipedia.org/wiki/Perunad#Heliport,"Perunad Heliport, Sabarimala Helipad, Kerala helipad,",0,2015-09-04T10:03:21+00:00
42729,IN-0008,heliport,Kavaratti Helipad,10.5416679382324,72.6160430908203,,AS,IN,IN-LD,,0,,,,,,,0,2008-12-10T03:41:20+00:00
44582,IN-0015,small_airport,Baljek Airport,25.6614875793457,90.3450393676758,,AS,IN,IN-ML,,1,,,,,,,0,2009-07-19T04:52:24+00:00
325010,IN-0102,closed,Erase Me 16,-0.5,0,,AS,IN,IN-MM,,0,,,,,,,0,2017-11-26T09:33:29+00:00
44475,IN-0014,closed,Koirengei Airstrip,24.8724594116211,93.9256820678711,,AS,IN,IN-MN,,0,,,,,,,0,2009-06-14T05:07:52+00:00
46623,IN-0060,small_airport,Khargon Govt. Airstrip,21.8100301946,75.5544376373,,AS,IN,IN-MP,,0,,,,,,"Khargon, Khargone, Khargoan",0,2010-12-27T06:18:15+00:00
309587,IN-0086,small_airport,CHINDWARA AIRFIELD,22,78.93,,AS,IN,IN-MP,,0,,,,,,,0,2013-09-16T09:13:32+00:00
46550,IN-0027,heliport,Thuampui Helipad,23.7458666667,92.7367333333,3214,AS,IN,IN-MZ,,0,,,,,,Zemabawk Helipad,0,2010-11-11T12:09:29+00:00
46551,IN-0028,heliport,Pukpui Helipad,22.9422666667,92.76885,,AS,IN,IN-MZ,,0,,,,,,"Lunglei,helipad",0,2010-11-11T12:33:22+00:00
46552,IN-0029,heliport,Lunglei Helipad,22.8683833333,92.7633,,AS,IN,IN-MZ,,0,,,,,,,0,2010-11-11T12:55:12+00:00
46554,IN-0031,heliport,Vairengte Helipad,24.4789166667,92.7539333333,,AS,IN,IN-MZ,,0,,,,,,,0,2010-11-11T13:09:24+00:00
301049,IN-0073,small_airport,Angul Airport (JSPL),20.91195,85.0325833333,,AS,IN,IN-OR,,0,,,,,,,0,2012-03-25T04:28:20+00:00
311049,IN-0092,small_airport,Jajpur ( Sukinda ) Airstrip,21.0319444444,85.7538888889,400,AS,IN,IN-OR,,0,,,R,,,,0,2014-02-21T06:25:00+00:00
311106,IN-0093,small_airport,Vedanta Lanjigarh Airstrip,19.7194444444,83.3936111111,,AS,IN,IN-OR,,0,,,,,,,0,2014-02-26T05:01:51+00:00
312280,IN-0094,closed,no airport,20.46668667,83.48333056,,AS,IN,IN-OR,,0,,,,,,,0,2015-03-17T08:40:19+00:00
308280,IN-0084,closed,Salwas,26.141647,73.097062,,AS,IN,IN-RJ,,0,,,,,,,0,2013-02-19T02:53:31+00:00
308281,IN-0085,small_airport,Airport,26.436257,73.102823,,AS,IN,IN-RJ,,0,,,,,,,0,2013-02-19T03:04:33+00:00
42730,IN-0009,heliport,Gangtok Helipad,27.3556976318359,88.6141052246094,,AS,IN,IN-SK,,0,,,,,,,0,2008-12-10T23:46:09+00:00
44362,IN-0012,small_airport,Pakyong Airport (Under Construction),27.2313,88.587196,4590,AS,IN,IN-SK,,0,,,,,https://en.wikipedia.org/wiki/Pakyong_Airport,,0,2016-06-02T08:29:41+00:00
42721,IN-0005,closed,Kayathar Airstrip,8.9713888168335,77.8206253051758,,AS,IN,IN-TN,,0,,,,,,,0,2008-12-07T03:42:46+00:00
42722,IN-0006,closed,Chettinad Airstrip,10.1649961471558,78.7937698364258,,AS,IN,IN-TN,,0,,,,,,,0,2008-12-07T03:56:58+00:00
46287,IN-0020,closed,Ulundurpet Airstrip,11.6885487471,79.3213748932,,AS,IN,IN-TN,,0,,,,,,,0,2010-03-15T23:22:06+00:00
46628,IN-0063,closed,Cholavaram Airstrip,13.2102419263,80.1523447037,,AS,IN,IN-TN,,0,,,,,,,0,2010-12-30T10:48:15+00:00
300715,IN-0069,small_airport,Sultanpur,26.2475,82.0425,,AS,IN,IN-UP,,1,,,,,,,0,2012-02-09T10:17:46+00:00
46283,IN-0017,closed,Dudhkundi Airfield,22.3245915688,87.1074199677,,AS,IN,IN-WB,,0,,,,,http://en.wikipedia.org/wiki/Dudhkundi_Airfield,,0,2010-03-15T05:55:42+00:00
46284,IN-0018,closed,Piardoba Airfield,22.9895085468,87.2995948792,,AS,IN,IN-WB,,0,,,,,http://en.wikipedia.org/wiki/Piardoba_Airfield,,0,2010-03-15T06:01:46+00:00
302122,IN-0078,closed,Bishnupur Airfield,23.0339266917,87.3548698425,,AS,IN,IN-WB,,0,,,,,,,0,2012-07-21T00:50:39+00:00
302134,IN-0079,closed,Guskhara Airfield,23.471667,87.794167,,AS,IN,IN-WB,,0,,,,,http://en.wikipedia.org/wiki/Guskhara_Airfield,,0,2012-07-21T01:08:26+00:00
302135,IN-0080,closed,Pandaveswar Airfield,23.6413005209,87.348690033,,AS,IN,IN-WB,,0,,,,,http://en.wikipedia.org/wiki/Pandaveswar_Airfield,,0,2012-07-21T01:13:06+00:00
46556,IN-0033,small_airport,Aamby Valley Airport,18.6096166667,73.3775833333,2262,AS,IN,IN-MM,Aamby Valley City,0,,,,,,,0,2010-12-29T17:10:50+00:00
327453,VIKG,medium_airport,Kishangarh Airport,26.601473,74.814147,,AS,IN,IN-RJ,Ajmer,1,VIKG,KQH,,,https://en.wikipedia.org/wiki/Kishangarh_Airport,,0,2018-04-30T10:57:09+00:00
